candidate_group,covered_gap_ids,spatial_gap_ids,covered_sorties,service_start_s,service_end_s,preparation_start_s,longitude,latitude,ground_dsm_m,hover_altitude_m,agl_m,energy_kwh,return_soc_percent,return_o01_s,outbound_flight_s,return_flight_s
1,"[12, 13, 14, 15]","[4, 5, 6, 7, 9, 11, 12, 13, 14, 15]","Q23-006,Q23-007,Q23-013,Q23-025",5491.5869501896605,7509.904415102967,4825.717718604967,109.2028191,23.0394186,507.341552734375,757.341552734375,250.0,0.8725386279752856,72.73316787577232,8018.243776082191,455.8692315846937,508.3393609792249
1,"[12, 13, 14, 15]","[4, 5, 6, 7, 9, 11, 12, 13, 14, 15]","Q23-006,Q23-007,Q23-013,Q23-025",5491.5869501896605,7509.904415102967,4823.82579541477,109.2023786,23.0394548,506.3517150878906,756.3517150878906,250.0,0.873817448689694,72.69320472844707,8020.053212801848,457.7611547748905,510.14879769888137
1,"[12, 13, 14, 15]","[4, 5, 6, 7, 9, 11, 12, 13, 14, 15]","Q23-006,Q23-007,Q23-013,Q23-025",5491.5869501896605,7509.904415102967,4819.366608528529,109.2025918,23.0397567,521.0740356445312,771.0740356445312,250.0,0.8756238622421655,72.63675430493232,8025.739259734476,462.22034166113207,515.8348446315097
1,"[12, 13, 14, 15]","[2, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 17]","Q23-006,Q23-007,Q23-013,Q23-025",5491.5869501896605,7509.904415102967,4824.556323609653,109.2064541,23.0444748,398.6077880859375,698.6077880859375,300.0,0.8774396634919084,72.58001051587786,8014.510690690135,457.03062658000704,504.6062755871685
1,"[11, 12, 14, 15]","[2, 4, 5, 6, 7, 11, 12, 14, 15, 17]","Q23-006,Q23-007,Q23-013,Q23-025",5491.586089499344,7509.904415102967,4797.269200927109,109.2023786,23.0494548,473.51116943359375,623.5111694335938,150.0,0.9001905294827327,71.86904595366461,8035.538901128001,484.3168885722355,525.634486025035
1,"[11, 12, 14, 15]","[2, 4, 5, 6, 7, 11, 12, 14, 15, 17]","Q23-006,Q23-007,Q23-013,Q23-025",5491.586089499344,7509.904415102967,4792.6418104025815,109.2025918,23.0497567,487.5845642089844,637.5845642089844,150.0,0.9021503579580974,71.80780131380946,8041.339074550478,488.9442790967621,531.4346594475109
1,"[4, 5, 6, 10]","[2, 4, 5, 6, 10, 14, 16, 17, 20]","Q23-010,Q23-011,Q23-014,Q23-023",2137.1440024409562,4142.344928542324,1422.3388088423599,109.2449305,23.0622453,257.885498046875,507.885498046875,250.0,0.9174598269942345,71.32938040643018,4678.83224697816,504.8051935985965,536.4873184358361
1,"[4, 5, 6, 10]","[2, 4, 5, 6, 10, 14, 16, 17, 20]","Q23-010,Q23-011,Q23-014,Q23-023",2137.1440024409562,4142.344928542324,1409.8388088423599,109.2449305,23.0622453,257.885498046875,557.885498046875,300.0,0.9219053569903763,71.19045759405074,4695.498913644827,517.3051935985965,553.1539851025027
1,"[4, 5, 6, 10]","[2, 4, 5, 6, 10, 14, 16, 17, 20]","Q23-010,Q23-011,Q23-014,Q23-023",2137.1440024409562,4142.344928542324,1410.819247904032,109.2383003,23.0661338,222.2758026123047,472.2758026123047,250.0,0.9273411267859193,71.02058978794003,4687.38433329694,516.3247545369243,545.0394047546164
1,"[4, 5, 6, 10]","[2, 4, 5, 6, 10, 14, 16, 17, 20]","Q23-010,Q23-011,Q23-014,Q23-023",2137.1440024409562,4142.344928542324,1408.0611409370435,109.2441424,23.0652989,181.4994659423828,481.4994659423828,300.0,0.928450108117549,70.9859341213266,4690.9110788747685,519.0828615039126,548.5661503324445
