sortie,phase,start_s,end_s,start_longitude,start_latitude,end_longitude,end_latitude,start_altitude_m,end_altitude_m
Q23-021,leg3-cruise,1568.9765846310015,1929.7043909222948,109.2835966,23.0052097,109.2308517,23.0085095,591.9473876953125,591.9473876953125
Q23-021,leg3-descent,1929.7043909222948,2115.40334600042,109.2308517,23.0085095,109.2308517,23.0085095,591.9473876953125,127.7
Q23-022,leg1-climb,2811.0,2939.0910583496093,109.2308517,23.0085095,109.2308517,23.0085095,127.7,511.9731750488281
Q23-022,leg1-cruise,2939.0910583496093,3241.346251548773,109.2308517,23.0085095,109.1928191,23.0294186,511.9731750488281,511.9731750488281
Q23-022,leg1-descent,3241.346251548773,3306.735521568304,109.1928191,23.0294186,109.1928191,23.0294186,511.9731750488281,348.5
Q23-022,S007-handoff,3306.735521568304,3516.735521568304,109.1928191,23.0294186,109.1928191,23.0294186,348.5,348.5
Q23-022,leg2-climb,3516.735521568304,3568.2082591985127,109.1928191,23.0294186,109.1928191,23.0294186,348.5,502.918212890625
Q23-022,leg2-cruise,3568.2082591985127,3716.767111434563,109.1928191,23.0294186,109.1923786,23.0494548,502.918212890625,502.918212890625
Q23-022,leg2-descent,3716.767111434563,3728.134396590813,109.1923786,23.0494548,109.1923786,23.0494548,502.918212890625,474.5
Q23-022,S015-handoff,3728.134396590813,3908.134396590813,109.1923786,23.0494548,109.1923786,23.0494548,474.5,474.5
Q23-022,leg3-climb,3908.134396590813,3940.567481714511,109.1923786,23.0494548,109.1923786,23.0494548,474.5,571.7992553710938
Q23-022,leg3-cruise,3940.567481714511,4341.84174495038,109.1923786,23.0494548,109.2308517,23.0085095,571.7992553710938,571.7992553710938
Q23-022,leg3-descent,4341.84174495038,4519.481447098818,109.2308517,23.0085095,109.2308517,23.0085095,571.7992553710938,127.7
Q23-023,leg1-climb,2893.0,2983.4939412434896,109.2308517,23.0085095,109.2308517,23.0085095,127.7,399.18182373046875
Q23-023,leg1-cruise,2983.4939412434896,3306.741074570811,109.2308517,23.0085095,109.2713839,23.0310882,399.18182373046875,399.18182373046875
Q23-023,leg1-descent,3306.741074570811,3325.733804062999,109.2713839,23.0310882,109.2713839,23.0310882,399.18182373046875,351.7
Q23-023,S013-handoff,3325.733804062999,3535.733804062999,109.2713839,23.0310882,109.2713839,23.0310882,351.7,351.7
Q23-023,leg2-climb,3535.733804062999,3542.6001309672956,109.2713839,23.0310882,109.2713839,23.0310882,351.7,372.2989807128906
Q23-023,leg2-cruise,3542.6001309672956,3757.1783567345587,109.2713839,23.0310882,109.2541424,23.0552989,372.2989807128906,372.2989807128906
Q23-023,leg2-descent,3757.1783567345587,3814.097949019715,109.2541424,23.0552989,109.2541424,23.0552989,372.2989807128906,230.0
Q23-023,S009-handoff,3814.097949019715,3994.097949019715,109.2541424,23.0552989,109.2541424,23.0552989,230.0,230.0
Q23-023,leg3-climb,3994.097949019715,4015.1742531375535,109.2541424,23.0552989,109.2541424,23.0552989,230.0,293.2289123535156
Q23-023,leg3-cruise,4015.1742531375535,4396.686279351864,109.2541424,23.0552989,109.2308517,23.0085095,293.2289123535156,293.2289123535156
Q23-023,leg3-descent,4396.686279351864,4462.89784429327,109.2308517,23.0085095,109.2308517,23.0085095,293.2289123535156,127.7
Q23-024,leg1-climb,8484.552,8539.728304117838,109.2308517,23.0085095,109.2308517,23.0085095,127.7,293.2289123535156
Q23-024,leg1-cruise,8539.728304117838,8921.240330332148,109.2308517,23.0085095,109.2541424,23.0552989,293.2289123535156,293.2289123535156
Q23-024,leg1-descent,8921.240330332148,8946.531895273554,109.2541424,23.0552989,109.2541424,23.0552989,293.2289123535156,230.0
Q23-024,S009-handoff,8946.531895273554,9156.531895273554,109.2541424,23.0552989,109.2541424,23.0552989,230.0,230.0
Q23-024,leg2-climb,9156.531895273554,9200.171767506627,109.2541424,23.0552989,109.2541424,23.0552989,230.0,360.91961669921875
