sortie,phase,time_s,longitude,latitude,altitude_m,distance_3d_m,fspl_db,obstruction,path_loss_db,threshold_db,available,reason
Q23-007,leg2-cruise,7450.630328814275,109.1903658877551,23.029251965306123,561.8041381835938,4760.121474419806,113.60658554829352,True,123.60658554829352,122.0,False,
Q23-007,leg2-cruise,7460.509343195724,109.19163106938775,23.028603763265306,561.8041381835938,4612.51986496585,113.33298982560252,True,123.33298982560252,122.0,False,
Q23-007,leg2-cruise,7470.388357577172,109.19289625102041,23.02795556122449,561.8041381835938,4464.956122977194,113.05056874310185,True,123.05056874310185,122.0,False,
Q23-007,leg2-cruise,7480.267371958621,109.19416143265306,23.027307359183673,561.8041381835938,4317.434187269946,112.75873935682935,True,122.75873935682935,122.0,False,
Q23-007,leg2-cruise,7490.1463863400695,109.19542661428571,23.02665915714286,561.8041381835938,4169.958552850541,112.45685960105615,True,122.45685960105615,122.0,False,
Q23-007,leg2-cruise,7500.025400721518,109.19669179591837,23.02601095510204,561.8041381835938,4022.534372413131,112.14422011058856,True,122.14422011058856,122.0,False,
Q23-007,leg2-cruise,7509.904415102967,109.19795697755102,23.025362753061223,561.8041381835938,3875.167580835657,111.82003459873552,True,121.82003459873552,122.0,True,
Q23-007,leg2-cruise,7519.783429484415,109.19922215918368,23.02471455102041,561.8041381835938,3727.8650489618444,111.48342847894386,False,111.48342847894386,122.0,True,
Q23-007,leg2-cruise,7529.662443865864,109.20048734081632,23.02406634897959,561.8041381835938,3580.634775040265,111.13342533839216,False,111.13342533839216,122.0,True,
Q23-007,leg2-cruise,7539.541458247312,109.20175252244898,23.023418146938777,561.8041381835938,3433.4861249500386,110.76893076838627,False,110.76893076838627,122.0,True,
Q23-007,leg2-cruise,7549.420472628761,109.20301770408163,23.02276994489796,561.8041381835938,3286.4301363443697,110.38871292196757,False,110.38871292196757,122.0,True,
