运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,诊断说明
Q23-003,leg2-descent,1290.7484366448357,1363.4267416985467,直连,,
Q23-021,S014-handoff,1308.660788732564,1488.660788732564,中继,R3-001,
Q23-002,leg2-climb,1314.8983708492733,1350.521014892242,直连,,
Q23-004,leg2-cruise,1315.6244142886471,1615.4340319635974,中继,R3-001,
Q23-002,leg2-cruise,1350.521014892242,1554.7484366448357,直连,,
Q23-021,leg3-climb,1488.660788732564,1568.9765846310015,中继,R3-001,
Q23-017,leg2-cruise,1493.0814179116035,1749.5610027028988,直连,,
Q23-002,leg2-descent,1554.7484366448357,1627.4267416985467,直连,,
Q23-021,leg3-cruise,1568.9765846310015,1676.219986501386,中继,R3-001,
Q23-004,leg2-cruise,1615.4340319635974,1935.2309574835444,直连,,
Q23-021,leg3-cruise,1676.219986501386,1929.7043909222948,直连,,
Q23-017,leg2-descent,1749.5610027028988,1863.8014006521175,直连,,
Q23-014,leg1-climb,1754.0,1852.0837329101562,直连,,
Q23-014,leg1-cruise,1852.0837329101562,2137.1440024409562,直连,,
Q23-021,leg3-descent,1929.7043909222948,2115.40334600042,直连,,
Q23-004,leg2-descent,1935.2309574835444,2007.7326591437006,直连,,
Q23-011,leg1-climb,2048.0,2127.48435546875,直连,,
Q23-011,leg1-cruise,2127.48435546875,2382.7668062278276,直连,,
Q23-014,leg1-cruise,2137.1440024409562,2392.715278572018,中继,R3-002,
Q23-010,leg1-climb,2368.0,2434.236962890625,直连,,
Q23-011,leg1-cruise,2382.7668062278276,2480.9523642120885,中继,R3-002,
Q23-014,leg1-descent,2392.715278572018,2443.7199447097137,中继,R3-002,
Q23-010,leg1-cruise,2434.236962890625,2758.2493042386855,直连,,
Q23-014,S008-handoff,2443.7199447097137,2731.7199447097137,中继,R3-002,
Q23-011,leg1-descent,2480.9523642120885,2546.657808548026,中继,R3-002,
Q23-019,leg1-climb,2540.0,2688.033085123698,直连,,
Q23-011,S005-handoff,2546.657808548026,2870.657808548026,中继,R3-002,
Q23-018,leg1-climb,2682.0,2836.749129231771,直连,,
Q23-019,leg1-cruise,2688.033085123698,3012.5931509762395,直连,,
Q23-014,leg2-climb,2731.7199447097137,2772.52367761987,中继,R3-002,
Q23-010,leg1-cruise,2758.2493042386855,2876.071973819798,中继,R3-002,
Q23-014,leg2-cruise,2772.52367761987,3028.094953750932,中继,R3-002,
Q23-022,leg1-climb,2811.0,2939.0910583496093,直连,,
Q23-018,leg1-cruise,2836.749129231771,3160.227868569072,直连,,
Q23-011,leg2-climb,2870.657808548026,2923.222164016776,中继,R3-002,
Q23-010,leg1-descent,2876.071973819798,2928.636329288548,中继,R3-002,
Q23-023,leg1-climb,2893.0,2983.4939412434896,直连,,
Q23-011,leg2-cruise,2923.222164016776,3021.4077220010367,中继,R3-002,
Q23-010,S005-handoff,2928.636329288548,3138.636329288548,中继,R3-002,
Q23-022,leg1-cruise,2939.0910583496093,3202.3455814585586,直连,,
Q23-023,leg1-cruise,2983.4939412434896,3238.1735008347127,直连,,
Q23-019,leg1-cruise,3012.5931509762395,3189.6259141685346,中继,R3-002,
Q23-012,leg1-climb,3015.0,3094.465946451823,直连,,
Q23-011,leg2-cruise,3021.4077220010367,3276.6901727601144,直连,,
Q23-014,leg2-cruise,3028.094953750932,3313.155223281732,直连,,
Q23-012,leg1-cruise,3094.465946451823,3359.552055473148,直连,,
Q23-010,leg2-climb,3138.636329288548,3182.4399588458396,中继,R3-002,
Q23-018,leg1-cruise,3160.227868569072,3287.6588870958876,中继,R3-003,
Q23-010,leg2-cruise,3182.4399588458396,3300.2626284269522,中继,R3-002,
Q23-019,leg1-descent,3189.6259141685346,3228.545616316972,中继,R3-002,
Q23-022,leg1-cruise,3202.3455814585586,3241.346251548773,中继,R3-002,
Q23-019,S015-handoff,3228.545616316972,3438.545616316972,中继,R3-002,
Q23-023,leg1-cruise,3238.1735008347127,3306.741074570811,中继,R3-003,
Q23-022,leg1-descent,3241.346251548773,3306.735521568304,中继,R3-002,
Q23-011,leg2-descent,3276.6901727601144,3376.045617096052,直连,,
Q23-018,leg1-descent,3287.6588870958876,3384.0378421740124,中继,R3-003,
Q23-010,leg2-cruise,3300.2626284269522,3624.274969775013,直连,,
Q23-022,S007-handoff,3306.735521568304,3516.735521568304,中继,R3-002,
Q23-023,leg1-descent,3306.741074570811,3325.733804062999,中继,R3-003,
Q23-014,leg2-descent,3313.155223281732,3435.7598894194275,直连,,
Q23-023,S013-handoff,3325.733804062999,3535.733804062999,中继,R3-003,
Q23-012,leg1-descent,3359.552055473148,3380.0711912153356,直连,,
Q23-012,S006-handoff,3380.0711912153356,3590.0711912153356,直连,,
Q23-018,S014-handoff,3384.0378421740124,3594.0378421740124,中继,R3-003,
Q23-019,leg2-climb,3438.545616316972,3470.9787014406697,中继,R3-002,
Q23-019,leg2-cruise,3470.9787014406697,3648.011464632965,中继,R3-002,
Q23-022,leg2-climb,3516.735521568304,3568.2082591985127,中继,R3-002,
Q23-023,leg2-climb,3535.733804062999,3542.6001309672956,中继,R3-003,
Q23-023,leg2-cruise,3542.6001309672956,3757.1783567345587,中继,R3-003,
Q23-022,leg2-cruise,3568.2082591985127,3716.767111434563,中继,R3-002,
Q23-012,leg2-climb,3590.0711912153356,3607.170471000492,直连,,
Q23-018,leg2-climb,3594.0378421740124,3674.35363807245,中继,R3-003,
Q23-012,leg2-cruise,3607.170471000492,3872.2565800218167,直连,,
Q23-010,leg2-descent,3624.274969775013,3703.7593252437628,直连,,
Q23-019,leg2-cruise,3648.011464632965,3972.571530485506,直连,,
Q23-018,leg2-cruise,3674.35363807245,3801.7846565992654,中继,R3-003,
Q23-022,leg2-descent,3716.767111434563,3728.134396590813,中继,R3-002,
Q23-022,S015-handoff,3728.134396590813,3908.134396590813,中继,R3-002,
Q23-023,leg2-descent,3757.1783567345587,3814.097949019715,中继,R3-003,
Q23-018,leg2-cruise,3801.7846565992654,4125.263395936567,直连,,
Q23-023,S009-handoff,3814.097949019715,3994.097949019715,中继,R3-003,
Q23-012,leg2-descent,3872.2565800218167,3967.615715764004,直连,,
Q23-022,leg3-climb,3908.134396590813,3940.567481714511,中继,R3-002,
Q23-022,leg3-cruise,3940.567481714511,4087.3751389959266,中继,R3-002,
Q23-019,leg2-descent,3972.571530485506,4150.211232633944,直连,,
Q23-023,leg3-climb,3994.097949019715,4015.1742531375535,中继,R3-003,
Q23-023,leg3-cruise,4015.1742531375535,4142.344928542324,中继,R3-003,
Q23-022,leg3-cruise,4087.3751389959266,4341.84174495038,直连,,
Q23-018,leg2-descent,4125.263395936567,4310.962351014692,直连,,
Q23-023,leg3-cruise,4142.344928542324,4396.686279351864,直连,,
Q23-022,leg3-descent,4341.84174495038,4519.481447098818,直连,,
Q23-023,leg3-descent,4396.686279351864,4462.89784429327,直连,,
Q23-025,leg1-climb,4615.73,4711.089135742187,直连,,
Q23-025,leg1-cruise,4711.089135742187,4923.158022959246,直连,,
Q23-025,leg1-descent,4923.158022959246,4948.806942636981,直连,,
Q23-025,S006-handoff,4948.806942636981,5272.806942636981,直连,,
Q23-006,leg1-climb,5019.542,5164.243379394532,直连,,
Q23-006,leg1-cruise,5164.243379394532,5491.5869501896605,直连,,
Q23-013,leg1-climb,5207.0,5288.736444091797,直连,,
Q23-025,leg2-climb,5272.806942636981,5383.031473886981,直连,,
Q23-013,leg1-cruise,5288.736444091797,5646.507319897441,直连,,
Q23-025,leg2-cruise,5383.031473886981,5491.586089499344,直连,,
Q23-025,leg2-cruise,5491.586089499344,5550.797698015178,中继,R3-004,
Q23-006,leg1-cruise,5491.5869501896605,5769.333010258255,中继,R3-004,
Q23-025,leg2-descent,5550.797698015178,5560.100056789216,直连,,
Q23-025,leg2-descent,5560.100056789216,5671.728362077678,中继,R3-004,
Q23-013,leg1-cruise,5646.507319897441,5964.525876169125,中继,R3-004,
Q23-025,S007-handoff,5671.728362077678,5959.728362077678,中继,R3-004,
Q23-006,leg1-descent,5769.333010258255,5858.654665531692,中继,R3-004,
Q23-006,S003-handoff,5858.654665531692,6068.654665531692,中继,R3-004,
Q23-025,leg3-climb,5959.728362077678,6025.117632097209,中继,R3-004,
Q23-013,leg1-descent,5964.525876169125,6005.329609079281,中继,R3-004,
Q23-013,S008-handoff,6005.329609079281,6215.329609079281,中继,R3-004,
Q23-025,leg3-cruise,6025.117632097209,6064.118302187424,中继,R3-004,
Q23-007,leg1-climb,6028.0,6201.641655273437,直连,,
Q23-025,leg3-cruise,6064.118302187424,6327.372825296373,直连,,
Q23-006,leg2-climb,6068.654665531692,6143.089378259557,中继,R3-004,
Q23-006,leg2-cruise,6143.089378259557,6420.835438328151,中继,R3-004,
Q23-008,leg1-climb,6187.0,6277.179722086588,直连,,
Q23-007,leg1-cruise,6201.641655273437,6458.496029191099,直连,,
Q23-013,leg2-climb,6215.329609079281,6249.332719837745,中继,R3-004,
Q23-013,leg2-cruise,6249.332719837745,6567.351276109428,中继,R3-004,
Q23-008,leg1-cruise,6277.179722086588,6644.602171234741,直连,,
Q23-025,leg3-descent,6327.372825296373,6519.509412820787,直连,,
Q23-006,leg2-cruise,6420.835438328151,6748.17900912328,直连,,
Q23-007,leg1-cruise,6458.496029191099,6685.713359964416,中继,R3-004,
Q23-013,leg2-cruise,6567.351276109428,6925.122151915072,直连,,
Q23-008,leg1-cruise,6644.602171234741,6793.557218186695,中继,R3-005,
Q23-007,leg1-descent,6685.713359964416,6797.365429056213,中继,R3-004,
Q23-006,leg2-descent,6748.17900912328,6921.820664396717,直连,,
Q23-008,leg1-descent,6793.557218186695,6861.5328846906,中继,R3-005,
Q23-007,S003-handoff,6797.365429056213,7193.365429056213,中继,R3-004,
Q23-008,S004-handoff,6861.5328846906,7071.5328846906,中继,R3-005,
