运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
Q23-005,leg1-cruise,2895.55725218077,2901.2712166587785,中继,R3-003,123.06060021802014,122.0
Q23-004,leg1-cruise,2898.76943946083,2905.9710958985165,直连,,99.17870994038991,122.0
Q23-005,leg1-cruise,2901.2712166587785,2906.9851811367867,中继,R3-003,123.22530339614434,122.0
Q23-020,leg1-climb,2903.515794440564,2927.4939412434896,直连,,86.72375891033047,122.0
Q23-004,leg1-cruise,2905.9710958985165,2913.172752336203,直连,,99.88143667550665,122.0
Q23-005,leg1-cruise,2906.9851811367867,2918.413110092803,中继,R3-003,123.38695032878395,122.0
Q23-004,leg1-cruise,2913.172752336203,2920.3744087738887,直连,,100.5444686528683,122.0
Q23-001,leg1-climb,2916.322755940755,2941.984133911133,直连,,84.78800933048049,122.0
Q23-005,leg1-cruise,2918.413110092803,2924.127074570811,中继,R3-003,123.70151364936746,122.0
Q23-004,leg1-cruise,2920.3744087738887,2927.576065211575,直连,,101.1700184932607,122.0
Q23-005,leg1-descent,2924.127074570811,2943.119804062999,中继,R3-003,123.77631418571382,122.0
Q23-020,leg1-cruise,2927.4939412434896,2934.7092790409743,直连,,88.19120434647135,122.0
Q23-004,leg1-cruise,2927.576065211575,2934.7777216492614,直连,,101.76071905446834,122.0
Q23-020,leg1-cruise,2934.7092790409743,2941.9246168384593,直连,,89.09125020656604,122.0
Q23-004,leg1-cruise,2934.7777216492614,2941.9793780869477,直连,,102.31928908154177,122.0
Q23-020,leg1-cruise,2941.9246168384593,2949.1399546359444,直连,,90.47223933845943,122.0
Q23-004,leg1-cruise,2941.9793780869477,2949.181034524634,直连,,102.84836062869219,122.0
Q23-001,leg1-climb,2941.984133911133,2967.6455118815106,直连,,87.99370239644938,122.0
Q23-005,S013-handoff,2943.119804062999,2973.119804062999,中继,R3-003,123.77442449618124,122.0
Q23-020,leg1-cruise,2949.1399546359444,2956.355292433429,直连,,91.96004704576605,122.0
Q23-004,leg1-cruise,2949.181034524634,2956.3826909623203,直连,,103.35039677400943,122.0
Q23-020,leg1-cruise,2956.355292433429,2963.5706302309136,直连,,93.38003090371726,122.0
Q23-004,leg1-cruise,2956.3826909623203,2963.5843474000067,直连,,103.82765899185063,122.0
Q23-020,leg1-cruise,2963.5706302309136,2970.7859680283987,直连,,94.67889840127859,122.0
Q23-004,leg1-cruise,2963.5843474000067,2970.7860038376925,直连,,104.28220120440055,122.0
Q23-001,leg1-cruise,2967.6455118815106,2974.8855723385122,直连,,89.39194186901106,122.0
Q23-020,leg1-cruise,2970.7859680283987,2978.0013058258837,直连,,95.85225676084094,122.0
Q23-004,leg1-cruise,2970.7860038376925,2977.987660275379,直连,,104.71587757149634,122.0
Q23-005,S013-handoff,2973.119804062999,3003.119804062999,中继,R3-003,123.77442449618124,122.0
Q23-001,leg1-cruise,2974.8855723385122,2982.1256327955134,直连,,90.44623323823467,122.0
Q23-004,leg1-cruise,2977.987660275379,2985.189316713065,直连,,105.13035677888986,122.0
Q23-020,leg1-cruise,2978.0013058258837,2985.2166436233683,直连,,96.91148792660502,122.0
Q23-001,leg1-cruise,2982.1256327955134,2989.365693252515,直连,,92.00286848056923,122.0
Q23-023,leg1-climb,2985.1549999999997,3009.6759332275387,直连,,60.602168335678854,122.0
Q23-004,leg1-cruise,2985.189316713065,2992.3909731507515,直连,,105.527138825903,122.0
Q23-020,leg1-cruise,2985.2166436233683,2992.4319814208534,直连,,97.87137002599673,122.0
Q23-001,leg1-cruise,2989.365693252515,2996.6057537095166,直连,,93.62205152139626,122.0
Q23-004,leg1-cruise,2992.3909731507515,2999.592629588438,直连,,105.90757215708614,122.0
Q23-020,leg1-cruise,2992.4319814208534,2999.6473192183385,直连,,98.74594339637537,122.0
Q23-001,leg1-cruise,2996.6057537095166,3003.845814166518,直连,,95.12948231252956,122.0
Q23-004,leg1-cruise,2999.592629588438,3006.7942860261237,直连,,106.27287002909611,122.0
Q23-020,leg1-cruise,2999.6473192183385,3006.862657015823,直连,,99.54738029194343,122.0
Q23-005,S013-handoff,3003.119804062999,3033.119804062999,中继,R3-003,123.77442449618124,122.0
Q23-001,leg1-cruise,3003.845814166518,3011.0858746235194,直连,,96.48583182555407,122.0
Q23-004,leg1-cruise,3006.7942860261237,3013.99594246381,直连,,106.62412559442035,122.0
Q23-020,leg1-cruise,3006.862657015823,3014.077994813308,直连,,100.28588996368003,122.0
Q23-023,leg1-climb,3009.6759332275387,3034.1968664550777,直连,,77.19526326568271,122.0
Q23-001,leg1-cruise,3011.0858746235194,3018.325935080521,直连,,97.69779974021557,122.0
Q23-004,leg1-cruise,3013.99594246381,3021.1975989014963,直连,,106.96232551143797,122.0
Q23-020,leg1-cruise,3014.077994813308,3021.293332610793,直连,,100.96994256858481,122.0
Q23-007,leg1-climb,3015.0,3041.488648817274,直连,,65.95807536677027,122.0
Q23-001,leg1-cruise,3018.325935080521,3025.565995537522,直连,,98.78376870259565,122.0
Q23-004,leg1-cruise,3021.1975989014963,3028.3992553391827,直连,,107.2883620678621,122.0
Q23-020,leg1-cruise,3021.293332610793,3028.508670408278,直连,,101.60655759391045,122.0
Q23-001,leg1-cruise,3025.565995537522,3032.806055994524,直连,,99.76274614969151,122.0
Q23-004,leg1-cruise,3028.3992553391827,3035.600911776869,直连,,107.60304389540194,122.0
Q23-020,leg1-cruise,3028.508670408278,3035.7240082057624,直连,,102.20157242447809,122.0
Q23-001,leg1-cruise,3032.806055994524,3040.0461164515254,直连,,100.65134748546947,122.0
Q23-005,S013-handoff,3033.119804062999,3063.119804062999,中继,R3-003,123.77442449618124,122.0
Q23-023,leg1-climb,3034.1968664550777,3058.717799682617,直连,,82.54794938210713,122.0
Q23-004,leg1-cruise,3035.600911776869,3042.8025682145553,直连,,107.90710539532368,122.0
Q23-020,leg1-cruise,3035.7240082057624,3042.9393460032475,直连,,102.75986860398874,122.0
Q23-001,leg1-cruise,3040.0461164515254,3047.2861769085266,直连,,101.46335113421377,122.0
Q23-007,leg1-climb,3041.488648817274,3067.977297634549,直连,,79.98436368446212,122.0
