运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
P00011,leg1-climb,565.8232221679688,575.3591357421875,直连,
P00057,leg1-cruise,566.4111219992511,571.2407555753641,直连,
P00020,leg1-cruise,566.4154473990088,571.3477471065338,直连,
P00107,leg1-cruise,566.6387887382879,571.5663365024238,直连,
P00035,leg1-climb,569.0713220214843,578.7617626953125,直连,
P00024,leg1-cruise,569.1226296568583,573.9973297418758,直连,
P00057,leg1-cruise,571.2407555753641,576.0703891514772,直连,
P00020,leg1-cruise,571.3477471065338,576.2800468140587,直连,
P00107,leg1-cruise,571.5663365024238,576.4938842665599,直连,
P00024,leg1-cruise,573.9973297418758,578.8720298268933,直连,
P00137,leg1-cruise,574.8247242850962,584.6433503308939,直连,
P00146,leg1-cruise,574.8247242850962,584.6433503308939,直连,
P00011,leg1-cruise,575.3591357421875,580.1788831789388,直连,
P00057,leg1-cruise,576.0703891514772,580.9000227275903,直连,
P00020,leg1-cruise,576.2800468140587,581.2123465215835,直连,
P00107,leg1-cruise,576.4938842665599,581.4214320306959,直连,
P00035,leg1-climb,578.7617626953125,588.4522033691406,直连,
P00024,leg1-cruise,578.8720298268933,583.7467299119107,直连,
P00011,leg1-cruise,580.1788831789388,584.9986306156902,直连,
P00057,leg1-cruise,580.9000227275903,585.7296563037035,直连,
P00020,leg1-cruise,581.2123465215835,586.1446462291085,直连,
P00107,leg1-cruise,581.4214320306959,586.3489797948318,直连,
P00024,leg1-cruise,583.7467299119107,588.6214299969282,直连,
P00137,leg1-cruise,584.6433503308939,594.4619763766917,直连,
P00146,leg1-cruise,584.6433503308939,594.4619763766917,直连,
P00011,leg1-cruise,584.9986306156902,589.8183780524416,直连,
P00057,leg1-cruise,585.7296563037035,590.5592898798166,直连,
P00020,leg1-cruise,586.1446462291085,591.0769459366334,直连,
P00107,leg1-cruise,586.3489797948318,591.2765275589679,直连,
P00035,leg1-climb,588.4522033691406,598.1426440429688,直连,
P00024,leg1-cruise,588.6214299969282,593.4961300819457,直连,
P00011,leg1-cruise,589.8183780524416,594.6381254891929,直连,
P00057,leg1-cruise,590.5592898798166,595.3889234559297,直连,
