架次编号,航段序号,from,to,payload_kg,distance_m,cruise_altitude_m,flight_s,energy_kwh
Q2-026,1,O01,S008,17.0,8109.473184927932,372.9093322753906,798.3296090792808,1.7247997316702608
Q2-026,2,S008,O01,0.0,8109.473184927932,372.9093322753906,807.8762757459475,1.4867213335050418
Q2-027,1,O01,S004,17.0,7745.662441501595,398.2391662597656,803.6272587156277,1.6593795058613205
Q2-027,2,S004,O01,0.0,7745.662441501595,398.2391662597656,810.3339253822944,1.4392259426863725
Q2-028,1,O01,S008,28.0,8109.473184927932,372.9093322753906,689.7199447097137,2.899164281087569
Q2-028,2,S008,O01,0.0,8109.473184927932,372.9093322753906,704.0399447097136,2.5222000841427805
Q2-029,1,O01,S004,42.0,7745.662441501595,398.2391662597656,709.5627457338954,3.1117336799349014
Q2-029,2,S004,O01,0.0,7745.662441501595,398.2391662597656,719.6227457338954,2.4282231591570365
Q2-030,1,O01,S003,17.0,7261.075570364676,561.8041381835938,839.1126655316918,1.6149747941555515
Q2-030,2,S003,O01,0.0,7261.075570364676,561.8041381835938,853.1659988650251,1.3661334895754682
Q2-031,1,O01,S003,64.0,7261.075570364676,561.8041381835938,769.3654290562129,3.854449956814672
Q2-031,2,S003,O01,0.0,7261.075570364676,561.8041381835938,790.4454290562128,2.293232499930845
