covered_gap_ids,covered_sorties,service_start_s,service_end_s,preparation_start_s,longitude,latitude,ground_dsm_m,hover_altitude_m,agl_m,energy_kwh,return_soc_percent,return_o01_s,outbound_flight_s,return_flight_s
"[7, 8, 9, 11, 20]","Q2-008,Q2-009,Q2-024,Q2-027,Q2-029",2996.903230692702,7422.769452303852,2215.6317385814355,109.2877807,23.0497573,271.5475158691406,571.5475158691406,300.0,1.7046929864725162,46.72834417273387,8019.696691892332,571.2714921112665,596.92723958848
"[8, 12, 13, 17, 22]","Q2-009,Q2-011,Q2-012,Q2-013,Q2-023",3023.126631185436,8000.946961477172,2493.752458256903,109.2660168,23.0094009,304.2348327636719,554.2348327636719,250.0,1.7117383729040483,46.508175846748486,8346.76872402566,319.3741729285329,345.8217625484873
"[9, 12, 13, 17, 22]","Q2-011,Q2-012,Q2-013,Q2-023,Q2-024",3056.355300486866,8000.946961477172,2497.913057214092,109.2695646,23.007845,345.9920959472656,645.9920959472656,300.0,1.7187673798398029,46.288519380006164,8377.471478614692,348.4422432727738,376.5245171375199
"[7, 8, 9, 13, 22]","Q2-008,Q2-009,Q2-011,Q2-023,Q2-024",2996.903230692702,8000.946961477172,2412.848441064089,109.2735966,23.0152097,335.4212341308594,585.4212341308594,250.0,1.75500884597523,45.15597356327407,8401.06930786848,374.054789628613,400.1223463913083
"[8, 9, 13, 14, 22]","Q2-009,Q2-011,Q2-021,Q2-023,Q2-024",3023.126631185436,8000.946961477172,2379.580067233756,109.2813839,23.0210882,378.3836364746094,628.3836364746094,250.0,1.7855208420871058,44.20247368477794,8459.953756955545,433.54656395168007,459.0067954783728
"[10, 18, 19, 21, 23]","Q2-014,Q2-017,Q2-020,Q2-030,Q2-031",3691.9542689266414,8988.86208053246,3111.971990777507,109.1970368,23.0258342,413.2655029296875,713.2655029296875,300.0,1.8340389746303964,42.686282042800116,9394.155026101029,369.9822781491342,405.2929455685678
"[6, 7, 8, 13, 22]","Q2-008,Q2-009,Q2-011,Q2-022,Q2-023",2506.7850168453324,8000.946961477172,1977.4108439167994,109.2660168,23.0094009,304.2348327636719,454.2348327636719,150.0,1.8695094217301909,41.57783057093154,8346.76872402566,319.3741729285329,345.8217625484873
"[5, 12, 17, 18, 21]","Q2-012,Q2-013,Q2-014,Q2-016,Q2-020",2421.467771120079,7844.322975131394,1800.3510545747035,109.2102907,23.0499272,371.9468078613281,521.9468078613281,150.0,1.9079720096419275,40.37587469868977,8279.960258998546,411.11671654537525,435.63728386715263
"[6, 7, 8, 9, 22]","Q2-008,Q2-009,Q2-022,Q2-023,Q2-024",2506.7850168453324,8000.946961477172,1800.9620116957544,109.2813839,23.0410882,329.4339904785156,629.4339904785156,300.0,1.9835003724254174,38.01561336170571,8521.735040275838,495.82300514957797,520.7880787986666
"[3, 10, 12, 17, 21]","Q2-012,Q2-013,Q2-017,Q2-019,Q2-020",1202.4283044869223,7844.322975131394,716.4629491526175,109.2070368,23.0258342,353.11492919921875,503.11492919921875,150.0,2.195443103996217,31.392403000118218,8143.239574565633,275.9653553343048,298.91659943423963
"[1, 6, 9, 13, 22]","Q2-010,Q2-011,Q2-022,Q2-023,Q2-024",803.9626477115796,8000.946961477172,146.8801053634117,109.2804104,23.0060347,420.50872802734375,670.5087280273438,250.0,2.4631690243287836,23.025967989725515,8484.172642456526,447.0825423481679,483.22568097935283
