sortie,phase,start_s,end_s,direct_available,reason,gap_id
Q2-001,S014-handoff,1308.660788732564,1488.660788732564,False,,1
Q2-016,leg2-climb,1314.8983708492733,1350.521014892242,True,,
Q2-005,leg2-descent,1320.162227991069,1391.016262414897,False,,2
Q2-016,leg2-cruise,1350.521014892242,1554.7484366448357,True,,
Q2-005,S009-handoff,1391.016262414897,1607.016262414897,False,,2
Q2-002,leg3-climb,1479.696416447584,1512.129501571282,False,,3
Q2-001,leg3-climb,1488.660788732564,1568.9765846310015,False,,1
Q2-006,leg1-climb,1500.0,1560.4180847167968,True,,
Q2-002,leg3-cruise,1512.129501571282,1712.7666331892165,False,,3
Q2-016,leg2-descent,1554.7484366448357,1627.4267416985467,True,,
Q2-006,leg1-cruise,1560.4180847167968,1766.9535991150958,True,,
Q2-001,leg3-cruise,1568.9765846310015,1749.3404877766482,False,,1
Q2-005,leg3-climb,1607.016262414897,1632.3078273563033,False,,2
Q2-005,leg3-cruise,1632.3078273563033,1823.0638404634583,False,,2
Q2-002,leg3-cruise,1712.7666331892165,1913.4037648071512,True,,
Q2-001,leg3-cruise,1749.3404877766482,1929.7043909222948,True,,
Q2-006,leg1-cruise,1766.9535991150958,2180.024627911694,False,,4
Q2-005,leg3-cruise,1823.0638404634583,2013.8198535706135,True,,
Q2-002,leg3-descent,1913.4037648071512,2091.043466955589,True,,
Q2-001,leg3-descent,1929.7043909222948,2115.40334600042,True,,
Q2-005,leg3-descent,2013.8198535706135,2096.584309747371,True,,
Q2-017,leg1-climb,2047.4267416985467,2105.5693857415154,True,,
Q2-017,leg1-cruise,2105.5693857415154,2309.796807494109,True,,
Q2-006,leg1-descent,2180.024627911694,2215.8063295718503,False,,4
Q2-006,S002-handoff,2215.8063295718503,2425.8063295718503,False,,4
Q2-017,leg1-descent,2309.796807494109,2354.32511254782,True,,
Q2-017,S001-handoff,2354.32511254782,2678.32511254782,True,,
Q2-006,leg2-climb,2425.8063295718503,2455.624414288647,False,,4
Q2-003,leg1-climb,2451.0434669555884,2546.2437985799374,True,,
Q2-006,leg2-cruise,2455.624414288647,2868.695443085245,False,,4
Q2-004,leg1-climb,2475.40334600042,2630.1524752321907,True,,
Q2-003,leg1-cruise,2546.2437985799374,2792.8587839561833,True,,
Q2-004,leg1-cruise,2630.1524752321907,2810.516378377837,True,,
Q2-017,leg2-climb,2678.32511254782,2713.9477565907887,True,,
Q2-017,leg2-cruise,2713.9477565907887,2918.1751783433824,True,,
Q2-003,leg1-cruise,2792.8587839561833,3039.4737693324287,False,,5
Q2-004,leg1-cruise,2810.516378377837,2990.880281523484,False,,6
Q2-019,leg1-climb,2816.5843097473717,2896.0686652161216,True,,
Q2-006,leg2-cruise,2868.695443085245,3075.2309574835444,True,,
Q2-019,leg1-cruise,2896.0686652161216,3072.8026695877907,True,,
Q2-017,leg2-descent,2918.1751783433824,2990.8534833970934,True,,
Q2-004,leg1-descent,2990.880281523484,3087.259236601609,False,,6
Q2-003,leg1-descent,3039.4737693324287,3092.8741672816473,False,,5
Q2-019,leg1-cruise,3072.8026695877907,3249.53667395946,False,,7
Q2-006,leg2-descent,3075.2309574835444,3147.732659143701,True,,
Q2-004,S014-handoff,3087.259236601609,3297.259236601609,False,,6
Q2-003,S012-handoff,3092.8741672816473,3302.8741672816473,False,,5
Q2-019,leg1-descent,3249.53667395946,3315.2421182953976,False,,7
Q2-004,leg2-climb,3297.259236601609,3377.5750325000463,False,,6
Q2-003,leg2-climb,3302.8741672816473,3347.374498905996,False,,5
