运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
P00028,leg1-cruise,2904.389678006316,2909.360594919578,直连,,101.99769572952069,122.0
P00010,leg1-cruise,2907.275822080676,2912.0405858457693,直连,,109.21168789396134,122.0
P00014,S009-handoff,2907.275822080676,2916.805349610863,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2907.275822080676,2916.805349610863,直连,,102.1844606189944,122.0
P00037,leg2-cruise,2907.275822080676,2916.805349610863,直连,,118.33033749204733,122.0
P00040,S002-handoff,2907.275822080676,2916.805349610863,中继,RU-002,127.4805746284193,122.0
P00028,leg1-cruise,2909.360594919578,2914.33151183284,直连,,102.49311661549488,122.0
P00089,leg1-descent,2909.8472032812633,2919.343568027357,中继,RU-001,123.77534346571288,122.0
P00010,leg1-cruise,2912.0405858457693,2916.805349610863,直连,,109.4249473227191,122.0
P00028,leg1-cruise,2914.33151183284,2919.302428746102,直连,,102.9625552219109,122.0
P00010,leg1-cruise,2916.805349610863,2921.570113375956,直连,,109.6331144465725,122.0
P00014,S009-handoff,2916.805349610863,2926.3348771410497,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2916.805349610863,2926.3348771410497,直连,,102.92571266735685,122.0
P00037,leg2-cruise,2916.805349610863,2926.3348771410497,直连,,117.93938605235685,122.0
P00040,S002-handoff,2916.805349610863,2926.3348771410497,中继,RU-002,127.4805746284193,122.0
P00028,leg1-cruise,2919.302428746102,2924.273345659364,直连,,103.40852938548257,122.0
P00089,S013-handoff,2919.343568027357,2928.450059154795,中继,RU-001,123.77442449618124,122.0
P00010,leg1-cruise,2921.570113375956,2926.3348771410497,直连,,109.83642596818818,122.0
P00028,leg1-cruise,2924.273345659364,2929.244262572626,直连,,103.8332179534589,122.0
P00010,leg1-cruise,2926.3348771410497,2931.0996409061436,直连,,110.0351025153582,122.0
P00014,S009-handoff,2926.3348771410497,2935.864404671237,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2926.3348771410497,2935.864404671237,直连,,103.60909223751669,122.0
P00037,leg2-cruise,2926.3348771410497,2935.864404671237,直连,,117.53008688053404,122.0
P00040,S002-handoff,2926.3348771410497,2935.864404671237,中继,RU-002,127.4805746284193,122.0
P00089,S013-handoff,2928.450059154795,2937.556550282233,中继,RU-001,123.77442449618124,122.0
P00028,leg1-cruise,2929.244262572626,2934.2151794858883,直连,,104.23851716011804,122.0
P00010,leg1-cruise,2931.0996409061436,2935.864404671237,直连,,110.22935005966616,122.0
P00028,leg1-cruise,2934.2151794858883,2939.1860963991503,直连,,104.62608617517465,122.0
P00010,leg1-cruise,2935.864404671237,2940.6291684363305,直连,,110.41936118253477,122.0
P00014,S009-handoff,2935.864404671237,2945.393932201424,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2935.864404671237,2945.393932201424,直连,,114.24292903800469,122.0
P00037,leg2-cruise,2935.864404671237,2945.393932201424,直连,,107.10064167499006,122.0
P00040,S002-handoff,2935.864404671237,2945.393932201424,中继,RU-002,127.4805746284193,122.0
P00089,S013-handoff,2937.556550282233,2946.6630414096708,中继,RU-001,123.77442449618124,122.0
P00028,leg1-cruise,2939.1860963991503,2944.1570133124123,直连,,104.99738411292178,122.0
P00010,leg1-cruise,2940.6291684363305,2945.393932201424,直连,,110.60531620785207,122.0
P00028,leg1-cruise,2944.1570133124123,2949.1279302256744,直连,,105.3537002817282,122.0
P00010,leg1-cruise,2945.393932201424,2950.1586959665174,直连,,110.7873842176952,122.0
P00014,S009-handoff,2945.393932201424,2954.923459731611,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2945.393932201424,2954.923459731611,直连,,114.83388464359665,122.0
P00037,leg2-cruise,2945.393932201424,2954.923459731611,直连,,106.64897563527552,122.0
P00040,S002-handoff,2945.393932201424,2954.923459731611,中继,RU-002,127.4805746284193,122.0
P00089,S013-handoff,2946.6630414096708,2955.7695325371087,中继,RU-001,123.77442449618124,122.0
P00028,leg1-cruise,2949.1279302256744,2954.0988471389364,直连,,105.69617905658784,122.0
P00010,leg1-cruise,2950.1586959665174,2954.923459731611,直连,,110.96572396523541,122.0
P00028,leg1-cruise,2954.0988471389364,2959.0697640521985,直连,,106.0258404515197,122.0
P00010,leg1-cruise,2954.923459731611,2959.6882234967043,直连,,111.14048469709877,122.0
P00014,S009-handoff,2954.923459731611,2964.4529872617977,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2954.923459731611,2964.4529872617977,直连,,115.38736786110496,122.0
P00037,leg2-cruise,2954.923459731611,2964.4529872617977,直连,,106.17267809058963,122.0
P00040,S002-handoff,2954.923459731611,2964.4529872617977,中继,RU-002,127.4805746284193,122.0
P00089,S013-handoff,2955.7695325371087,2964.8760236645467,中继,RU-001,123.77442449618124,122.0
P00028,leg1-cruise,2959.0697640521985,2964.0406809654605,直连,,106.34359723336037,122.0
P00010,leg1-cruise,2959.6882234967043,2964.4529872617977,直连,,111.31180689566317,122.0
P00028,leg1-cruise,2964.0406809654605,2969.0115978787226,直连,,106.65026923777997,122.0
P00010,leg1-cruise,2964.4529872617977,2969.217751026891,直连,,111.47982295048519,122.0
P00014,S009-handoff,2964.4529872617977,2973.9825147919846,中继,RU-002,125.20711279830486,122.0
P00032,leg1-cruise,2964.4529872617977,2973.9825147919846,直连,,115.90782898529314,122.0
P00037,leg2-cruise,2964.4529872617977,2973.9825147919846,直连,,105.66892641348338,122.0
P00040,S002-handoff,2964.4529872617977,2973.9825147919846,中继,RU-002,127.4805746284193,122.0
P00089,S013-handoff,2964.8760236645467,2973.9825147919846,中继,RU-001,123.77442449618124,122.0
P00028,leg1-cruise,2969.0115978787226,2973.9825147919846,直连,,106.94659540905799,122.0
P00010,leg1-cruise,2969.217751026891,2978.8917926911977,直连,,121.64465776677496,122.0
P00014,S009-handoff,2973.9825147919846,2983.2909558063075,中继,RU-002,125.20711279830486,122.0
P00028,leg1-cruise,2973.9825147919846,2978.8372562967324,直连,,107.22994785019358,122.0
P00032,leg1-cruise,2973.9825147919846,2983.689359620044,直连,,116.40341474145723,122.0
P00037,leg2-cruise,2973.9825147919846,2983.6919978014803,直连,,105.12918134953294,122.0
