运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
P00107,leg1-cruise,508.4939412434896,518.3339736372245,直连,,88.29738884302606,122.0
P00147,leg1-cruise,509.74126021009374,514.6038178708698,直连,,116.11697661436108,122.0
P00020,leg1-climb,510.5600994873047,520.0801326497397,直连,,78.11171836792278,122.0
P00040,leg1-climb,512.0627127075195,521.1254254150391,直连,,62.96758148022912,122.0
P00143,leg1-cruise,513.0943419645117,522.9129680103094,直连,,104.11249625163042,122.0
P00037,leg1-cruise,513.4180847167969,523.4117386392952,直连,,84.76693719536415,122.0
P00147,leg1-cruise,514.6038178708698,524.3289331924219,直连,,116.57657470762791,122.0
P00053,leg1-cruise,518.0099787544376,527.8279827922645,直连,,100.26846841120901,122.0
P00107,leg1-cruise,518.3339736372245,528.1740060309595,直连,,89.81398599656362,122.0
P00020,leg1-climb,520.0801326497397,529.6001658121745,直连,,80.76445636907572,122.0
P00040,leg1-climb,521.1254254150391,530.1881381225586,直连,,71.33379743766997,122.0
P00143,leg1-cruise,522.9129680103094,532.7315940561073,直连,,114.72960412724932,122.0
P00037,leg1-cruise,523.4117386392952,528.4085656005444,直连,,86.90947953901195,122.0
P00147,leg1-cruise,524.3289331924219,529.1914908531979,直连,,117.01314805332449,122.0
P00053,leg1-cruise,527.8279827922645,537.6459868300914,直连,,101.19505758530933,122.0
P00107,leg1-cruise,528.1740060309595,538.0140384246945,直连,,91.82660934952435,122.0
P00037,leg1-cruise,528.4085656005444,533.4053925617936,直连,,88.50829590438593,122.0
P00147,leg1-cruise,529.1914908531979,534.054048513974,直连,,117.29250004795173,122.0
P00020,leg1-climb,529.6001658121745,539.1201989746094,直连,,82.79374142065463,122.0
P00040,leg1-climb,530.1881381225586,539.2508508300782,直连,,75.515133584751,122.0
P00143,leg1-cruise,532.7315940561073,542.5502201019051,直连,,115.30596777067473,122.0
P00037,leg1-cruise,533.4053925617936,538.4022195230427,直连,,90.0024586867557,122.0
P00147,leg1-cruise,534.054048513974,538.9166061747501,直连,,117.56317181589064,122.0
P00053,leg1-cruise,537.6459868300914,547.4639908679181,直连,,102.03537905817474,122.0
P00107,leg1-cruise,538.0140384246945,547.8540708184295,直连,,93.74756618243777,122.0
P00037,leg1-cruise,538.4022195230427,543.399046484292,直连,,91.35021159595654,122.0
P00147,leg1-cruise,538.9166061747501,543.7791638355261,直连,,117.82568513692075,122.0
P00020,leg1-climb,539.1201989746094,548.6402321370443,直连,,84.43756318095366,122.0
P00040,leg1-climb,539.2508508300782,548.3135635375977,直连,,78.32578882182621,122.0
P00035,leg1-climb,540.0,549.6904406738281,直连,,57.99240565837262,122.0
P00143,leg1-cruise,542.5502201019051,552.3688461477028,直连,,115.84661294571715,122.0
P00037,leg1-cruise,543.399046484292,548.3958734455412,直连,,92.55646143319692,122.0
P00147,leg1-cruise,543.7791638355261,548.6417214963021,直连,,118.08051623270364,122.0
P00053,leg1-cruise,547.4639908679181,557.281994905745,直连,,102.80365874306017,122.0
P00107,leg1-cruise,547.8540708184295,557.6941032121645,直连,,95.4402037448393,122.0
P00040,leg1-climb,548.3135635375977,557.3762762451172,直连,,80.44587982316202,122.0
P00037,leg1-cruise,548.3958734455412,553.3927004067903,直连,,93.63849763135569,122.0
P00020,leg1-climb,548.6402321370443,558.1602652994792,直连,,85.81924271851256,122.0
P00147,leg1-cruise,548.6417214963021,553.5042791570781,直连,,118.32810090789717,122.0
P00035,leg1-climb,549.6904406738281,559.3808813476562,直连,,64.31881537331904,122.0
P00143,leg1-cruise,552.3688461477028,562.1874721935006,直连,,116.35569290258537,122.0
P00037,leg1-cruise,553.3927004067903,558.3895273680394,直连,,94.61468066589326,122.0
P00147,leg1-cruise,553.5042791570781,558.3668368178542,直连,,118.56883898762844,122.0
P00053,leg1-cruise,557.281994905745,562.1909969246585,直连,,103.33934933855903,122.0
P00040,leg1-climb,557.3762762451172,566.4389889526368,直连,,82.14868303046627,122.0
P00107,leg1-cruise,557.6941032121645,567.5341356058995,直连,,96.91220597618417,122.0
P00020,leg1-climb,558.1602652994792,567.6802984619142,直连,,87.01100199192072,122.0
P00147,leg1-cruise,558.3668368178542,563.2293944786302,直连,,118.80309816357895,122.0
P00037,leg1-cruise,558.3895273680394,563.3863543292886,直连,,95.50123732278145,122.0
P00035,leg1-climb,559.3808813476562,569.0713220214843,直连,,72.21730887279031,122.0
P00143,leg1-cruise,562.1874721935006,572.0060982392984,直连,,116.83667862143926,122.0
P00053,leg1-cruise,562.1909969246585,567.0999989435719,直连,,103.67934947327196,122.0
P00147,leg1-cruise,563.2293944786302,568.0919521394062,直连,,119.03121734057424,122.0
P00037,leg1-cruise,563.3863543292886,568.3831812905378,直连,,96.31170589374798,122.0
P00040,leg1-climb,566.4389889526368,575.5017016601563,直连,,83.57175599751194,122.0
P00053,leg1-cruise,567.0999989435719,572.0090009624853,直连,,104.00680167653924,122.0
P00107,leg1-cruise,567.5341356058995,577.3741679996344,直连,,98.19932907662842,122.0
P00020,leg1-climb,567.6802984619142,577.200331624349,直连,,88.05879851973764,122.0
P00147,leg1-cruise,568.0919521394062,572.9545098001822,直连,,119.25350955942825,122.0
P00037,leg1-cruise,568.3831812905378,573.380008251787,直连,,97.05717335595426,122.0
P00035,leg1-climb,569.0713220214843,578.7617626953125,直连,,76.28456620563054,122.0
P00143,leg1-cruise,572.0060982392984,581.8247242850962,直连,,117.29250004795173,122.0
P00053,leg1-cruise,572.0090009624853,576.9180029813987,直连,,114.32258123898288,122.0
P00147,leg1-cruise,572.9545098001822,577.8170674609582,直连,,119.47026455867514,122.0
P00037,leg1-cruise,573.380008251787,578.3768352130362,直连,,97.74668991008993,122.0
P00040,leg1-cruise,575.5017016601563,585.413751990025,直连,,85.04143575056554,122.0
P00053,leg1-cruise,576.9180029813987,581.827005000312,直连,,114.62747678631798,122.0
P00020,leg1-cruise,577.200331624349,582.1236908284336,直连,,88.62197279291713,122.0
P00107,leg1-cruise,577.3741679996344,587.2142003933694,直连,,99.33620701849459,122.0
P00147,leg1-cruise,577.8170674609582,582.6796251217344,直连,,119.68175102738253,122.0
P00037,leg1-cruise,578.3768352130362,583.3736621742853,直连,,98.38766864709545,122.0
P00035,leg1-climb,578.7617626953125,588.4522033691406,直连,,79.04372855980824,122.0
P00143,leg1-cruise,581.8247242850962,591.6433503308939,直连,,117.72565268316322,122.0
P00053,leg1-cruise,581.827005000312,586.7360070192256,直连,,114.92220110809691,122.0
P00020,leg1-cruise,582.1236908284336,587.0470500325181,直连,,89.23543410837378,122.0
P00147,leg1-descent,582.6796251217344,591.5852861324765,直连,,119.78436490661834,122.0
