运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
P00128,leg1-cruise,525.7315940561073,535.5502201019051,直连,,115.30596777067473,122.0
P00071,leg1-cruise,526.3083956564025,531.2055405621634,直连,,98.5810460915701,122.0
P00011,leg1-climb,527.6795678710937,537.2154814453125,直连,,80.96997659851404,122.0
P00107,leg1-cruise,529.4768679560642,534.4133008756,直连,,100.13457772576128,122.0
P00020,leg1-cruise,529.6587292845483,534.5910289920732,直连,,96.73886342643146,122.0
P00032,leg1-cruise,531.1825856897251,541.0012117355228,直连,,99.06671421641943,122.0
P00071,leg1-cruise,531.2055405621634,536.1026854679244,直连,,99.13388407374016,122.0
P00107,leg1-cruise,534.4133008756,539.349733795136,直连,,100.61561601913581,122.0
P00020,leg1-cruise,534.5910289920732,539.5233286995981,直连,,97.57182998805544,122.0
P00024,leg1-climb,535.0773086547852,544.7491292317709,直连,,92.7183334879742,122.0
P00128,leg1-cruise,535.5502201019051,545.3688461477028,直连,,115.84661294571715,122.0
P00071,leg1-cruise,536.1026854679244,540.9998303736853,直连,,99.6572219293591,122.0
P00011,leg1-climb,537.2154814453125,546.7513950195313,直连,,82.65823583839473,122.0
P00107,leg1-cruise,539.349733795136,544.2861667146719,直连,,101.07282159145154,122.0
P00020,leg1-cruise,539.5233286995981,544.455628407123,直连,,98.341572716978,122.0
P00002,leg1-climb,540.0,549.6904406738281,直连,,57.99240565837262,122.0
P00071,leg1-cruise,540.9998303736853,545.8969752794462,直连,,100.15364131967866,122.0
P00032,leg1-cruise,541.0012117355228,550.8198377813206,直连,,100.13484872048119,122.0
P00107,leg1-cruise,544.2861667146719,549.2225996342079,直连,,101.50830898255147,122.0
P00020,leg1-cruise,544.455628407123,549.3879281146479,直连,,99.05546824709224,122.0
P00024,leg1-cruise,544.7491292317709,549.5570051171012,直连,,93.03524096789263,122.0
P00128,leg1-cruise,545.3688461477028,555.1874721935006,直连,,116.35569290258537,122.0
P00071,leg1-cruise,545.8969752794462,550.7941201852071,直连,,100.62547326305318,122.0
P00011,leg1-climb,546.7513950195313,556.28730859375,直连,,84.07114615995937,122.0
P00107,leg1-cruise,549.2225996342079,554.1590325537438,直连,,101.92394305359461,122.0
P00020,leg1-cruise,549.3879281146479,554.3202278221729,直连,,99.72007125269687,122.0
P00024,leg1-cruise,549.5570051171012,554.3648810024315,直连,,93.25688798252676,122.0
P00002,leg1-climb,549.6904406738281,559.3808813476562,直连,,64.31881537331904,122.0
P00071,leg1-cruise,550.7941201852071,555.691265090968,直连,,101.07480983693068,122.0
P00032,leg1-cruise,550.8198377813206,560.6384638271184,直连,,101.08755538491656,122.0
P00107,leg1-cruise,554.1590325537438,559.0954654732797,直连,,102.32137289023734,122.0
P00020,leg1-cruise,554.3202278221729,559.2525275296978,直连,,100.34107825811586,122.0
P00024,leg1-cruise,554.3648810024315,559.1727568877618,直连,,93.6688850935713,122.0
P00128,leg1-cruise,555.1874721935006,565.0060982392984,直连,,116.83667862143926,122.0
P00071,leg1-cruise,555.691265090968,560.5884099967291,直连,,101.50352330615367,122.0
P00011,leg1-climb,556.28730859375,565.8232221679688,直连,,85.2860554619344,122.0
P00107,leg1-cruise,559.0954654732797,564.0318983928156,直连,,102.70206113948879,122.0
P00024,leg1-cruise,559.1727568877618,563.9806327730922,直连,,94.22174180013829,122.0
P00020,leg1-cruise,559.2525275296978,564.1848272372226,直连,,100.92339401054052,122.0
P00002,leg1-climb,559.3808813476562,569.0713220214843,直连,,72.21730887279031,122.0
P00071,leg1-cruise,560.5884099967291,565.48555490249,直连,,101.91328774302318,122.0
P00032,leg1-cruise,560.6384638271184,570.4570898729162,直连,,101.94709420372484,122.0
P00024,leg1-cruise,563.9806327730922,568.7885086584225,直连,,94.86397752399124,122.0
P00107,leg1-cruise,564.0318983928156,568.9683313123516,直连,,103.06730917293454,122.0
P00020,leg1-cruise,564.1848272372226,569.1171269447475,直连,,101.47122979875627,122.0
P00128,leg1-cruise,565.0060982392984,574.8247242850962,直连,,117.29250004795173,122.0
P00071,leg1-cruise,565.48555490249,570.3826998082509,直连,,102.30560058196676,122.0
P00011,leg1-climb,565.8232221679688,575.3591357421875,直连,,86.35169831831641,122.0
P00024,leg1-cruise,568.7885086584225,573.5963845437528,直连,,95.55263134100868,122.0
P00107,leg1-cruise,568.9683313123516,573.9047642318874,直连,,103.4182785748851,122.0
P00002,leg1-climb,569.0713220214843,578.7617626953125,直连,,76.28456620563054,122.0
P00020,leg1-cruise,569.1171269447475,574.0494266522724,直连,,101.98820412629082,122.0
P00071,leg1-cruise,570.3826998082509,575.2798447140118,直连,,102.68180286195405,122.0
P00032,leg1-cruise,570.4570898729162,580.275715918714,直连,,102.72991147153638,122.0
P00024,leg1-cruise,573.5963845437528,578.4042604290831,直连,,96.25656635294081,122.0
P00107,leg1-cruise,573.9047642318874,578.8411971514233,直连,,103.75600946109408,122.0
P00020,leg1-cruise,574.0494266522724,578.9817263597973,直连,,102.4774343772927,122.0
P00128,leg1-cruise,574.8247242850962,584.6433503308939,直连,,117.72565268316322,122.0
P00071,leg1-cruise,575.2798447140118,580.1769896197727,直连,,103.04309762605742,122.0
P00011,leg1-cruise,575.3591357421875,580.1180463164502,直连,,86.95366027556676,122.0
P00024,leg1-cruise,578.4042604290831,583.2121363144134,直连,,96.95536163818709,122.0
P00002,leg1-climb,578.7617626953125,588.4522033691406,直连,,79.04372855980824,122.0
P00107,leg1-cruise,578.8411971514233,583.7776300709593,直连,,104.08143609611861,122.0
P00020,leg1-cruise,578.9817263597973,583.9140260673223,直连,,102.94161609934362,122.0
P00011,leg1-cruise,580.1180463164502,584.8769568907129,直连,,87.77470550675201,122.0
P00071,leg1-cruise,580.1769896197727,585.0741345255336,直连,,103.39056633088329,122.0
P00032,leg1-cruise,580.275715918714,590.0943419645117,直连,,103.44848484892461,122.0
P00024,leg1-cruise,583.2121363144134,588.0200121997437,直连,,97.63669376392431,122.0
P00107,leg1-cruise,583.7776300709593,588.7140629904951,直连,,104.39540022334074,122.0
P00020,leg1-cruise,583.9140260673223,588.8463257748472,直连,,103.38308988669345,122.0
P00128,leg1-cruise,584.6433503308939,594.4619763766917,直连,,118.13827922218648,122.0
P00011,leg1-cruise,584.8769568907129,589.6358674649756,直连,,89.060359496397,122.0
