sortie,time_s,direct_available,direct_margin_db,access_margin_db,backhaul_margin_db
P00040,3100.1386287123273,False,-5.223046510572871,0.20208629962360192,9.848345329793744
P00040,3114.7176061992664,False,-4.955913369811398,0.3721110570195947,9.848345329793744
P00040,3129.296583686205,False,-4.680307291520137,0.5370958981877578,9.848345329793744
P00040,3143.875561173144,False,-4.395673473365974,0.6961809735491471,9.848345329793744
P00040,3158.4545386600826,False,-4.101400806468519,0.848456214890092,9.848345329793744
P00040,3173.033516147021,False,-3.7968139937884757,0.9929698605098594,9.848345329793744
P00040,3187.61249363396,False,-3.4811642403382876,1.1287399358294863,9.848345329793744
P00040,3202.1914711208988,False,-3.1536181932132052,1.254768822548158,9.848345329793744
P00040,3216.7704486078374,False,-2.813244721482235,1.3700608717236378,9.848345329793744
P00040,3231.3494260947764,False,-2.4589990095073375,1.4736427895429927,9.848345329793744
P00040,3245.928403581715,False,-2.089703281360329,1.5645862613495467,9.848345329793744
P00040,3260.507381068654,False,-1.704023263111651,1.6420320018344512,9.848345329793744
P00040,3275.0863585555926,False,-1.3004392009984116,1.7052141589133925,9.848345329793744
P00040,3289.665336042531,False,-0.8772098529547918,1.7534837937848238,9.848345329793744
P00040,3304.24431352947,False,-0.43232730775019945,1.7863300489643166,9.848345329793744
P00040,3318.823291016409,True,0.036540318322124676,1.8033976314195712,9.848345329793744
P00040,3333.402268503348,True,0.5321224250477172,1.8044993966107938,9.848345329793744
P00040,3347.9812459902864,True,1.0576415565810464,1.789623116891761,9.848345329793744
P00040,3362.560223477225,True,1.6169395637261772,1.7589319271020543,9.848345329793744
P00040,3377.139200964164,True,2.2146467678149406,1.7127584136222538,9.848345329793744
P00040,3391.7181784511026,True,2.8564129485251897,1.6515927909129289,9.848345329793744
P00040,3406.297155938041,True,3.5492293112241953,1.5760660310429273,9.848345329793744
P00040,3420.8761334249803,True,4.301887927830833,1.4869291270457836,9.848345329793744
P00040,3435.455110911919,True,15.125655294578152,1.3850298496613789,9.848345329793744
P00040,3450.034088398858,True,16.035291261670054,1.2712883916395583,9.848345329793744
P00040,3464.6130658857965,True,17.05064828713074,1.1466731989634837,9.848345329793744
P00040,3479.192043372735,True,18.1992939678982,1.0121780941268383,9.848345329793744
P00040,3493.771020859674,True,19.521044654114434,0.868801541541103,9.848345329793744
P00040,3508.3499983466127,True,21.076323282535597,0.7175286278103101,9.848345329793744
P00040,3522.9289758335512,True,22.962826446129654,0.5593160628212388,9.848345329793744
P00040,3537.5079533204903,True,25.351976890763012,0.39508027499981324,9.848345329793744
P00040,3552.086930807429,True,28.575040712442956,0.22568848918169238,9.848345329793744
P00040,3566.665908294368,True,33.263504677653486,0.05195254263857407,9.848345329793744
P00040,3581.2448857813065,True,37.7955515486551,-0.12537488840349909,9.848345329793744
P00040,3581.2448857813065,True,37.7955515486551,-0.12537488840349909,9.848345329793744
P00040,3594.19161822062,True,39.31591760538956,-0.12922971425339824,9.848345329793744
P00040,3607.1383506599336,True,41.160085102519105,-0.1332247703130065,9.848345329793744
P00040,3620.085083099247,True,43.50436599112126,-0.13735966675466216,9.848345329793744
P00040,3633.031815538561,True,46.7252107044949,-0.14163400098789225,9.848345329793744
P00040,3645.9785479778748,True,51.90080352151796,-0.14604735778758027,9.848345329793744
P00040,3658.9252804171883,True,66.53836117074577,-0.1505993094257292,9.848345329793744
P00040,3671.872012856502,True,45.92517525248826,-10.15528941580672,9.848345329793744
P00041,4330.600286036676,True,45.92517525248826,-10.15528941580672,9.848345329793744
P00041,4345.070423976129,True,54.55759335279987,-0.14750476606634777,9.848345329793744
P00041,4359.540561915583,True,45.44753815641698,-0.14010925698282506,9.848345329793744
P00041,4374.010699855035,True,41.09968119402561,-0.1331049030295901,9.848345329793744
P00041,4388.480837794489,True,38.2155956171173,-0.12649361954790095,9.848345329793744
P00041,4402.950975733942,True,36.0541551774287,-0.12027722103455574,9.848345329793744
P00041,4417.421113673395,True,34.324828623179044,-0.11445741951033028,9.848345329793744
P00041,4431.8912516128485,True,32.88329657647992,-0.10903582297206071,9.848345329793744
P00041,4446.361389552301,True,31.6472979757215,-0.10401393393124181,9.848345329793744
P00041,4460.831527491755,True,30.565470491123136,-0.09939314804191213,9.848345329793744
P00041,4475.301665431208,True,29.603583756332725,-0.09517475282042653,9.848345329793744
P00041,4475.301665431208,True,29.603583756332725,-0.09517475282042653,9.848345329793744
P00041,4490.0599491108105,True,28.873983524417852,0.11536346667730868,9.848345329793744
P00041,4504.818232790414,True,27.21878837193509,0.32914898801858783,9.848345329793744
P00041,4519.576516470017,True,25.37706248495094,0.5461405523361833,9.848345329793744
P00041,4534.33480014962,True,23.663102926613547,0.7662724337864688,9.848345329793744
P00041,4549.093083829222,True,22.14250914623176,0.9894497985829958,9.848345329793744
P00041,4563.851367508826,True,20.80378086405082,1.2155433354982392,9.848345329793744
P00041,4578.609651188429,True,19.619479913640646,1.444383073716395,9.848345329793744
P00041,4593.367934868032,True,18.563040306943847,1.6757513068259442,9.848345329793744
P00041,4608.126218547634,True,17.612335493325602,1.9093745516568816,9.848345329793744
P00041,4622.884502227238,True,16.749688675608112,2.1449144907052045,9.848345329793744
P00041,4637.642785906841,True,15.961098661171377,2.381957881345599,9.848345329793744
P00041,4652.401069586444,True,15.235434579841623,2.620005468966184,9.848345329793744
P00041,4667.159353266046,True,14.56377225528162,2.8584600208683923,9.848345329793744
P00041,4681.91763694565,True,13.93888378743651,3.0966137101460873,9.848345329793744
P00041,4696.675920625253,True,13.35485355775532,3.333635230650117,9.848345329793744
P00041,4711.4342043048555,True,12.806790467560006,3.5685572212421874,9.848345329793744
P00041,4726.192487984459,True,12.290611405669708,3.800264821754297,9.848345329793744
P00041,4740.950771664062,True,11.802877046050895,4.027486469649816,9.848345329793744
P00041,4755.709055343665,True,11.340666160517614,4.248788359016714,9.848345329793744
P00041,4770.467339023267,True,10.901478456216722,4.462574289537244,9.848345329793744
P00041,4785.225622702871,True,10.483158716577378,4.667092878122986,9.848345329793744
P00041,4799.983906382474,True,0.08383700114184478,4.860454211783832,9.848345329793744
P00041,4814.742190062077,False,-0.29811893270301937,5.040657888204734,9.848345329793744
P00041,4829.500473741679,False,-0.6641418173143876,5.20563391412189,9.848345329793744
P00041,4844.258757421283,False,-1.015495780078254,5.353297023322739,9.848345329793744
P00041,4859.017041100886,False,-1.3533015509140967,5.4816136060034495,9.848345329793744
P00041,4873.7753247804885,False,-1.678557173762556,5.588678681767362,9.848345329793744
P00041,4888.533608460091,False,-1.9921551416904322,5.672798409077103,9.848345329793744
P00041,4903.291892139695,False,-2.2948966652415237,5.732571851932761,9.848345329793744
P00041,4918.050175819298,False,-2.5875036262783624,5.766964553440118,9.848345329793744
P00041,4932.8084594989,False,-2.870628650301981,5.7753663048183626,9.848345329793744
P00041,4947.566743178504,False,-3.1448636393757425,5.7576265897814665,9.848345329793744
P00041,4962.325026858107,False,-3.410747037785228,5.714063483154831,9.848345329793744
P00041,4977.08331053771,False,-3.6687700484690424,5.645444918582598,9.848345329793744
P00041,4991.841594217312,False,-3.9193819759406097,5.552944597870109,9.848345329793744
P00041,5006.599877896916,False,-4.162994838209386,5.438077710995856,9.848345329793744
P00041,5021.358161576519,False,-4.399987363971832,5.3026235271283895,9.848345329793744
P00041,5036.116445256122,False,-4.6307084703833965,5.148542546986761,9.848345329793744
P00041,5050.874728935725,False,-4.855480300031999,4.977895343213547,9.848345329793744
P00041,5065.633012615328,False,-5.074600882223962,4.792768777354041,9.848345329793744
P00041,5080.391296294931,False,-5.2883464728186595,4.595213402563047,9.848345329793744
P00041,5080.391296294931,False,-5.2883464728186595,4.595213402563047,9.848345329793744
P00041,5095.278238840504,False,-5.28592873030037,4.584644737699463,9.848345329793744
P00041,5110.165181386076,False,-5.283737342346868,4.573224538567587,9.848345329793744
P00041,5125.0521239316495,False,-5.2817726524128545,4.560959574309976,9.848345329793744
P00041,5139.939066477223,False,-5.280034968766927,4.547857068529353,9.848345329793744
P00041,5154.826009022795,False,-5.2785245643307235,4.533924685498164,9.848345329793744
P00041,5169.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5169.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5184.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5199.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5214.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5229.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5244.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5259.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5274.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5289.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5304.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5319.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5334.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5349.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5364.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5379.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5379.712951568368,False,-5.27724167653642,4.519170515687577,9.848345329793744
P00041,5394.599894113941,False,-5.278808450972335,4.536777169959123,9.848345329793744
P00041,5409.486836659514,False,-5.280702783210231,4.553198095016413,9.848345329793744
P00041,5424.373779205087,False,-5.282924244557904,4.568419530192813,9.848345329793744
P00041,5439.260721750659,False,-5.2854723328486415,4.582428610653764,9.848345329793744
P00041,5454.1476642962325,False,-5.2883464728186595,4.595213402563047,9.848345329793744
P00041,5454.1476642962325,False,-5.2883464728186595,4.595213402563047,9.848345329793744
P00041,5468.905947975835,False,-5.074600882223962,4.792768777354041,9.848345329793744
P00041,5483.664231655439,False,-4.855480300031999,4.977895343213547,9.848345329793744
P00041,5498.422515335042,False,-4.6307084703833965,5.148542546986761,9.848345329793744
P00041,5513.180799014644,False,-4.399987363971832,5.3026235271283895,9.848345329793744
P00041,5527.939082694247,False,-4.162994838209386,5.438077710995856,9.848345329793744
P00041,5542.697366373851,False,-3.9193819759406097,5.552944597870109,9.848345329793744
P00041,5557.455650053454,False,-3.6687700484690424,5.645444918582598,9.848345329793744
P00041,5572.213933733056,False,-3.410747037785228,5.714063483154831,9.848345329793744
P00041,5586.97221741266,False,-3.1448636393757425,5.7576265897814665,9.848345329793744
P00041,5601.730501092263,False,-2.870628650301981,5.7753663048183626,9.848345329793744
P00041,5616.4887847718655,False,-2.5875036262783624,5.766964553440118,9.848345329793744
